property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,corona optus3.9 ?,sector 37c,1.4 Crore,7035.0,Super Built up area 1990(184.88 sq.m.)Built Up area: 1890 sq.ft. (175.59 sq.m.)Carpet area: 1790 sq.ft. (166.3 sq.m.),3.0,3.0,,4.0,South,Relatively New,,,,,0,1,0,0,0,0,149
flat,conscient heritage max4.3 ?,sector 102,2.5 Crore,11633.0,Super Built up area 2149(199.65 sq.m.),3.0,4.0,,25.0,North-East,New Property,,,,,1,1,0,0,0,1,56
flat,mahindra aura4.2 ?,sector 110,1.4 Crore,9655.0,Super Built up area 1615(150.04 sq.m.)Built Up area: 1550 sq.ft. (144 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,3.0,3.0,10.0,North,Relatively New,,,,,0,0,0,0,0,1,142
house,signature global park4.0 ?,sohna road,0.85,7589.0,Built Up area: 1120 (104.05 sq.m.),3 Bedrooms,2.0,2,1.0,,Undefined,1120.0,,,,0,0,0,0,0,0,15
flat,dlf new town heights 24.0 ?,sector 86,1.27 Crore,6580.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3.0,4.0,3.0,19.0,South-West,Relatively New,,,,,0,1,0,1,0,0,126
flat,puri emerald bay3.7 ?,sector 104,1.59 Crore,10903.0,Super Built up area 1550(144 sq.m.),2.0,2.0,2.0,12.0,South,Relatively New,,,,,0,0,0,0,0,0,121
flat,sare crescent parc3.5 ?,sector 92,65 Lac,4596.0,Carpet area: 1414 (131.36 sq.m.),3.0,3.0,3.0,3.0,,Moderately Old,,,,,0,0,0,0,0,0,44
flat,shree vardhman flora3.8 ?,sector 90,70 Lac,5177.0,Super Built up area 1352(125.6 sq.m.),2.0,2.0,3.0,9.0,East,New Property,,,,,1,0,0,0,0,0,97
flat,beverley park 1,sector 43,8.44 Crore,16230.0,Super Built up area 5200(483.1 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4900 sq.ft. (455.22 sq.m.),4.0,5.0,3.0,9.0,North-East,Moderately Old,,,,,0,1,0,0,0,2,117
flat,godrej 1014.0 ?,sector 79,1.33 Crore,8531.0,Super Built up area 1559(144.84 sq.m.),2.0,2.0,3.0,6.0,North-West,Relatively New,,,,,1,0,0,0,0,0,158
house,independent,sector 46,4.25,23148.0,Plot area 204(170.57 sq.m.),5 Bedrooms,4.0,2,3.0,North-East,Moderately Old,1836.0,,1836.0,,0,0,1,0,0,1,57
house,independent,sector 3,0.55,6707.0,Plot area 820(76.18 sq.m.)Built Up area: 810 sq.ft. (75.25 sq.m.)Carpet area: 715 sq.ft. (66.43 sq.m.),2 Bedrooms,2.0,1,2.0,South-East,Moderately Old,820.0,,820.0,,0,0,0,0,0,0,0
flat,puri emerald bay3.7 ?,sector 104,2.25 Crore,10465.0,Super Built up area 2450(227.61 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),3.0,4.0,,4.0,North,Relatively New,,,,,0,1,0,0,0,1,159
flat,ambience creacions,sector 22,2.79 Crore,15000.0,Super Built up area 1860(172.8 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3.0,3.0,3.0,13.0,East,New Property,,,,,0,0,0,0,0,2,158
flat,bhawna cghs,sector 43,3.25 Crore,10156.0,Super Built up area 3200(297.29 sq.m.)Carpet area: 3000 sq.ft. (278.71 sq.m.),4.0,4.0,,12.0,,Moderately Old,,,,,0,0,0,1,0,1,119
flat,emaar mgf palm hills4.0 ?,sector 77,1.64 Crore,8410.0,Super Built up area 1950(181.16 sq.m.),4.0,3.0,3.0,9.0,South,Relatively New,,,,,0,1,0,0,0,0,102
flat,tulip violet4.3 ?,sector 69,1.9 Crore,9452.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),4.0,4.0,2.0,6.0,West,Relatively New,,,,,0,0,1,0,0,0,174
flat,signature global park4.0 ?,sohna road,72.5 Lac,5991.0,Super Built up area 1210(112.41 sq.m.),2.0,2.0,3.0,3.0,North-West,Relatively New,,,,,0,0,0,1,0,0,158
flat,m3m woodshire4.0 ?,sector 107,90 Lac,5867.0,Super Built up area 1534(142.51 sq.m.)Carpet area: 1056 sq.ft. (98.11 sq.m.),2.0,2.0,3.0,8.0,South,Relatively New,,,,,1,0,0,0,0,1,74
flat,godrej aria3.8 ?,sector 79,1.7 Crore,7426.0,Super Built up area 2289(212.66 sq.m.)Carpet area: 1121 sq.ft. (104.14 sq.m.),3.0,4.0,,6.0,East,New Property,,,,,0,1,0,0,0,0,81
flat,umang winter hills3.9 ?,sector 77,86 Lac,6408.0,Super Built up area 1342(124.68 sq.m.),2.0,2.0,2.0,16.0,,New Property,,,,,0,0,0,0,0,1,79
house,dlf city phase 1,sector 26,3.25,33129.0,Plot area 109(91.14 sq.m.),3 Bedrooms,3.0,3,2.0,West,Old Property,981.0,,981.0,,1,0,0,0,0,0,79
flat,citizen apartment,sector 51,3.55 Crore,6826.0,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4700 sq.ft. (436.64 sq.m.),5.0,6.0,,11.0,North,Moderately Old,,,,,1,1,1,1,0,1,157
house,independent,sector 43,7.85,29074.0,Plot area 300(250.84 sq.m.),9 Bedrooms,9.0,3+,3.0,West,Relatively New,2700.0,,2700.0,,1,1,0,1,1,2,49
flat,m3m woodshire4.0 ?,sector 107,88 Lac,6442.0,Super Built up area 1366(126.91 sq.m.),2.0,2.0,,3.0,East,Relatively New,,,,,0,0,0,0,0,0,99
