property_type,society,sector,price,price_per_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,area,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
house,independent,sector 25,9.0,28490.0,Plot area 351(293.48 sq.m.),10 Bedrooms,10.0,3,3.0,East,Old Property,3159.0,,3159.0,,0,0,0,1,0,1,64
house,vatika india next4.1 ?,sector 82,6.8,20988.0,Plot area 360(301.01 sq.m.),4 Bedrooms,4.0,3+,3.0,North-East,Relatively New,3240.0,,3240.0,,0,1,0,0,0,2,110
flat,hsiidc sidco shivalik apartments3.8 ?,manesar,60 Lac,4000.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1077 sq.ft. (100.06 sq.m.),3.0,2.0,2.0,5.0,South-East,Moderately Old,,,,,0,0,0,0,0,0,80
flat,conscient heritage max4.3 ?,sector 102,1.82 Crore,9011.0,Super Built up area 1942(180.42 sq.m.),3.0,4.0,,12.0,North-East,Relatively New,,,,,0,1,0,0,0,0,101
flat,dlf the primus3.9 ?,sector 82a,1.85 Crore,10283.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3.0,3.0,,2.0,South,Relatively New,,,,,0,0,0,0,0,1,44
house,independent,sector 56,4.0,26613.0,Plot area 167(139.63 sq.m.),4 Bedrooms,4.0,3+,2.0,,Relatively New,1503.0,,1503.0,,0,0,0,0,0,1,24
flat,signature global city 81,sector 81,80 Lac,14652.0,Carpet area: 546 (50.73 sq.m.),2.0,2.0,2.0,4.0,North,Undefined,,,,,1,0,0,0,0,0,36
flat,ats triumph3.9 ?,sector 104,1.75 Crore,7641.0,Super Built up area 2290(212.75 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,4.0,,12.0,North-West,Relatively New,,,,,1,1,0,1,1,1,21
house,independent,sector 41,7.0,28283.0,Plot area 275(229.94 sq.m.),7 Bedrooms,7.0,3+,3.0,South-West,Moderately Old,2475.0,,2475.0,,1,1,1,1,0,2,151
flat,dlf the primus3.9 ?,sector 82a,3.5 Crore,13430.0,Carpet area: 2606 (242.11 sq.m.),5.0,5.0,,14.0,North-East,Relatively New,,,,,1,0,0,0,0,2,49
flat,ansal heights 86,sector 86,1.25 Crore,7396.0,Super Built up area 1690(157.01 sq.m.),3.0,2.0,1.0,2.0,,New Property,,,,,0,0,0,0,0,0,100
flat,emaar palm gardens4.1 ?,sector 83,1.38 Crore,8023.0,Super Built up area 1720(159.79 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1150 sq.ft. (106.84 sq.m.),3.0,3.0,3.0,5.0,South-West,Relatively New,,,,,0,1,0,0,0,1,8
flat,the lions cghs,sector 56,2.05 Crore,7884.0,Super Built up area 2600(241.55 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2400 sq.ft. (222.97 sq.m.),4.0,4.0,,6.0,South,Relatively New,,,,,0,0,0,0,1,1,101
flat,raheja sampada,sector 92,90 Lac,6569.0,Super Built up area 1370(127.28 sq.m.),3.0,2.0,3.0,11.0,East,Relatively New,,,,,0,0,0,0,0,0,88
flat,pareena coban residences,sector 99a,1.56 Crore,7811.0,Super Built up area 1997(185.53 sq.m.),3.0,5.0,3.0,4.0,North-East,New Property,,,,,0,1,0,0,1,0,49
flat,ss the leaf3.8 ?,sector 85,2.05 Crore,7290.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),4.0,4.0,,4.0,North-East,Relatively New,,,,,0,1,0,0,0,1,49
flat,bptp terra3.8 ?,sector 37d,1.78 Crore,8124.0,Super Built up area 2191(203.55 sq.m.),4.0,3.0,3.0,10.0,East,Relatively New,,,,,0,1,0,0,0,0,127
house,independent,sector 67,1.5,8642.0,Carpet area: 180 (150.5 sq.m.),5 Bedrooms,3.0,2,2.0,,New Property,1736.0,,,,0,0,0,0,0,0,0
flat,ireo skyon4.0 ?,sector 60,2.5 Crore,16129.0,Super Built up area 1550(144 sq.m.),2.0,3.0,2.0,4.0,North-West,Relatively New,,,,,1,0,0,0,0,0,100
house,independent,sector 27,4.25,31481.0,Plot area 163(136.29 sq.m.)Built Up area: 161 sq.yards (134.62 sq.m.)Carpet area: 150 sq.yards (125.42 sq.m.),5 Bedrooms,5.0,3+,3.0,East,Relatively New,1350.0,,163.0,,0,1,0,1,0,1,49
house,independent,sector 23,5.5,13095.0,Plot area 4200(390.19 sq.m.),9 Bedrooms,9.0,3+,3.0,South,Moderately Old,4200.0,,4200.0,,0,1,0,0,1,1,0
flat,ss the leaf3.8 ?,sector 85,1.05 Crore,6402.0,Super Built up area 1640(152.36 sq.m.),2.0,2.0,3.0,6.0,North-East,Relatively New,,,,,0,0,0,0,1,0,49
flat,signature global orchard avenue3.6 ?,sector 93,40 Lac,7359.0,Carpet area: 543.53 (50.5 sq.m.),2.0,2.0,2.0,11.0,,New Property,,,,,0,0,0,0,0,0,37
flat,bptp terra3.8 ?,sector 37d,1.71 Crore,7804.0,Built Up area: 2191 (203.55 sq.m.),3.0,3.0,,7.0,South-West,Relatively New,,,,,1,0,0,0,0,0,38
flat,godrej nature plus,sector 33,1.2 Crore,13369.0,Carpet area: 76.44,2.0,2.0,,11.0,,Under Construction,,,,,0,0,0,0,0,0,0
house,independent,sector 25,6.6,36667.0,Plot area 200(167.23 sq.m.),6 Bedrooms,7.0,3+,2.0,East,Moderately Old,1800.0,,1800.0,,1,1,0,0,0,1,119
flat,parsvnath green ville3.9 ?,sector 48,2.5 Crore,12820.0,Carpet area: 1950 (181.16 sq.m.),4.0,5.0,3.0,1.0,South-East,Moderately Old,,,,,0,0,0,0,1,1,49
flat,aipl zen residences,sector 70a,1.4 Crore,11094.0,Built Up area: 1262 (117.24 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),2.0,2.0,2.0,16.0,North-East,Undefined,,,,,0,0,0,0,0,0,0
flat,m3m merlin3.7 ?,sector 67,3 Crore,14655.0,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3.0,,4.0,North-East,Relatively New,,,,,0,0,1,0,0,1,174
flat,emaar mgf emerald floors premier3.8 ?,sector 65,2.79 Crore,14126.0,Carpet area: 1975 (183.48 sq.m.),4.0,4.0,,2.0,South-West,Relatively New,,,,,1,1,0,0,0,2,174
flat,dlf wellington estate4.2 ?,sector 43,2.09 Crore,14615.0,Super Built up area 1430(132.85 sq.m.),3.0,3.0,2.0,11.0,West,Old Property,,,,,0,0,0,0,0,1,79
flat,bestech park view residency3.9 ?,sector 2,1.51 Crore,7890.0,Super Built up area 1920(178.37 sq.m.),3.0,4.0,,8.0,West,Moderately Old,,,,,0,1,0,0,0,0,92
flat,m3m skywalk,sector 74,1.5 Crore,12500.0,Super Built up area 1400(130.06 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,3.0,17.0,North-East,Relatively New,,,,,0,0,1,0,0,0,174
flat,the lions cghs,sector 56,1.99 Crore,11055.0,Super Built up area 2400(222.97 sq.m.)Built Up area: 2000 sq.ft. (185.81 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),4.0,4.0,,4.0,East,Old Property,,,,,0,0,0,1,1,1,105
flat,breeze global heights,sector 33,40 Lac,6421.0,Built Up area: 623 (57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2.0,2.0,2.0,4.0,,Undefined,,,,,0,0,0,0,0,0,0
house,dlf city plots phase 2,sector 25,6.5,36111.0,Plot area 200(167.23 sq.m.),5 Bedrooms,5.0,3+,3.0,East,Old Property,1800.0,,1800.0,,1,1,1,1,0,1,134
flat,bptp amstoria3.8 ?,sector 102,1.9 Crore,8444.0,Super Built up area 2727(253.35 sq.m.)Built Up area: 2500 sq.ft. (232.26 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3.0,3.0,,1.0,North-East,Relatively New,,,,,0,1,0,0,0,0,174
flat,paras quartier,gwal pahari,5.9 Crore,11028.0,Super Built up area 5350(497.03 sq.m.),4.0,4.0,,19.0,East,New Property,,,,,1,1,1,1,0,1,160
flat,ireo the corridors,sector 67a,1.8 Crore,14658.0,Super Built up area 1921(178.47 sq.m.)Carpet area: 1227.96 sq.ft. (114.08 sq.m.),3.0,3.0,3.0,6.0,North,New Property,,,,,0,1,1,0,0,1,150
flat,smart world gems,sector 89,90 Lac,8159.0,Super Built up area 1103(102.47 sq.m.),2.0,2.0,2.0,3.0,,New Property,,,,,1,0,0,0,1,0,95
flat,m3m heights,sector 65,2.01 Crore,13500.0,Super Built up area 1516(140.84 sq.m.)Carpet area: 1433 sq.ft. (133.13 sq.m.),2.0,2.0,3.0,8.0,North-East,New Property,,,,,1,0,0,0,0,0,44
house,international city by sobha phase 2,sector 109,6.2,25514.0,Plot area 270(225.75 sq.m.),5 Bedrooms,5.0,2,2.0,South-West,Relatively New,2430.0,,2430.0,,0,1,0,0,0,0,135
flat,pioneer araya3.8 ?,sector 62,7.56 Crore,18000.0,Built Up area: 4200 (390.19 sq.m.),4.0,4.0,,23.0,West,Relatively New,,,,,0,1,0,1,0,1,87
flat,godrej nature plus,sector 33,1.15 Crore,11558.0,Carpet area: 92.44,2.0,2.0,2.0,15.0,,Undefined,,,,,0,0,0,0,0,0,38
flat,breez global hill view,sohna road,35 Lac,5319.0,Built Up area: 658 (61.13 sq.m.)Carpet area: 554.17 sq.ft. (51.48 sq.m.),2.0,2.0,2.0,18.0,,New Property,,,,,0,0,0,0,0,0,15
house,independent,sector 8,0.62,11273.0,Built Up area: 550 (51.1 sq.m.),3 Bedrooms,1.0,0,2.0,,Undefined,550.0,,,,0,0,0,0,0,0,0
flat,vatika gurgaon 213.7 ?,sector 83,1.33 Crore,5564.0,Super Built up area 2390(222.04 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),4.0,4.0,3.0,3.0,East,Relatively New,,,,,0,1,0,0,0,0,26
flat,tata primanti4.1 ?,sector 72,5.25 Crore,15648.0,Super Built up area 3355(311.69 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4.0,4.0,,30.0,North-East,New Property,,,,,0,1,0,0,0,1,174
flat,unitech fresco3.8 ?,sector 50,1.82 Crore,9912.0,Super Built up area 1836(170.57 sq.m.)Built Up area: 1830 sq.ft. (170.01 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3.0,3.0,,14.0,East,Moderately Old,,,,,0,0,0,0,1,1,174
flat,birla navya,sector 63a,3.7 Crore,15416.0,Carpet area: 2400 (222.97 sq.m.),3.0,3.0,,1.0,North,Under Construction,,,,,0,0,0,0,0,0,72
flat,valley view estate,gwal pahari,1.5 Crore,8278.0,Carpet area: 1812 (168.34 sq.m.),4.0,4.0,,9.0,North,Old Property,,,,,1,1,0,0,1,0,135
flat,m3m woodshire4.0 ?,sector 107,1.29 Crore,8835.0,Super Built up area 1943(180.51 sq.m.)Carpet area: 1460 sq.ft. (135.64 sq.m.),3.0,3.0,,1.0,East,Relatively New,,,,,0,0,0,1,0,1,174
flat,central park resorts4.4 ?,sector 48,3.65 Crore,15240.0,Super Built up area 1870(173.73 sq.m.)Built Up area: 1869 sq.ft. (173.64 sq.m.),3.0,3.0,,9.0,North-West,Relatively New,,,,,0,0,0,0,1,1,157
flat,adani m2k oyster grande3.9 ?,sector 102,4.55 Crore,10000.0,Super Built up area 4650(432 sq.m.)Built Up area: 4630 sq.ft. (430.14 sq.m.)Carpet area: 4550 sq.ft. (422.71 sq.m.),4.0,4.0,,11.0,North-East,Relatively New,,,,,0,0,0,0,0,1,60
flat,m3m skywalk,sector 74,1.5 Crore,10714.0,Carpet area: 1400 (130.06 sq.m.),2.0,2.0,1.0,8.0,,New Property,,,,,0,0,0,0,0,0,16
flat,dlf express greens3.9 ?,manesar,1.2 Crore,6505.0,Super Built up area 1845(171.41 sq.m.),3.0,4.0,2.0,5.0,East,Relatively New,,,,,0,1,0,0,1,0,43
house,independent,sector 25,4.45,32963.0,Plot area 150(125.42 sq.m.),4 Bedrooms,3.0,3+,2.0,West,Moderately Old,1350.0,,1350.0,,0,0,1,0,0,0,79
flat,ireo victory valley4.1 ?,sector 67,2.87 Crore,11903.0,Super Built up area 2411(223.99 sq.m.)Carpet area: 1808 sq.ft. (167.97 sq.m.),3.0,3.0,,16.0,North-West,Relatively New,,,,,0,1,0,0,0,1,174
flat,guru gram haryana cghs4.1 ?,sector 56,1.39 Crore,7227.0,Super Built up area 1920(178.37 sq.m.),3.0,3.0,3.0,4.0,North,Moderately Old,,,,,1,0,0,0,0,1,134
house,independent,sohna road road,0.49,4260.0,Plot area 1150(106.84 sq.m.),2 Bedrooms,2.0,1,3.0,,New Property,1150.0,,1150.0,,0,0,0,0,0,0,0
flat,emaar gurgaon greens4.1 ?,sector 102,1.4 Crore,8484.0,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3.0,3.0,3.0,3.0,East,Relatively New,,,,,0,1,0,0,0,0,60
flat,tulip leaf,sector 69,2.06 Crore,11386.0,Super Built up area 1812(168.34 sq.m.),3.0,3.0,3.0,16.0,South-West,Relatively New,,,,,0,0,0,0,0,0,49
flat,dlf new town heights 13.9 ?,sector 90,1.2 Crore,6217.0,Super Built up area 1930(179.3 sq.m.),3.0,3.0,,15.0,North,Relatively New,,,,,0,0,0,0,0,0,37
house,independent,sector 91,3.6,14815.0,Plot area 270(225.75 sq.m.),4 Bedrooms,4.0,3,2.0,North-East,New Property,2430.0,,2430.0,,0,0,0,0,0,1,49
house,independent,sector 12,0.7,4117.0,Plot area 1700(157.94 sq.m.),4 Bedrooms,4.0,1,2.0,,Moderately Old,1700.0,,1700.0,,0,0,0,0,0,0,0
flat,shree vardhman victoria3.8 ?,sector 70,1.15 Crore,8518.0,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3.0,8.0,South-East,Relatively New,,,,,1,0,0,0,1,0,49
flat,ss the leaf3.8 ?,sector 85,2.03 Crore,7230.0,Super Built up area 2812(261.24 sq.m.)Built Up area: 2225 sq.ft. (206.71 sq.m.)Carpet area: 2175 sq.ft. (202.06 sq.m.),4.0,4.0,,3.0,North-East,Relatively New,,,,,0,0,0,0,1,0,49
house,unitech palms south city 1,sector 41,9.25,28549.0,Plot area 3240(301.01 sq.m.)Built Up area: 5000 sq.ft. (464.52 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),9 Bedrooms,9.0,3+,4.0,North,Moderately Old,3240.0,,3240.0,,1,1,1,1,0,1,65
house,nirvana cedar crest,sector 50,3.99,8866.0,Plot area 4500(418.06 sq.m.),4 Bedrooms,5.0,3+,4.0,North-East,New Property,4500.0,,4500.0,,0,1,0,1,0,1,112
flat,signature andour heights3.8 ?,sector 71,65 Lac,10172.0,Super Built up area 639(59.37 sq.m.)Carpet area: 542 sq.ft. (50.35 sq.m.),2.0,2.0,1.0,10.0,South-West,Relatively New,,,,,0,0,0,0,0,1,23
flat,ansal api celebrity suites,sector 2,60 Lac,8163.0,Super Built up area 735(68.28 sq.m.),1.0,1.0,1.0,5.0,North-East,Moderately Old,,,,,0,0,0,0,0,1,88
flat,la vida by tata housing,sector 113,1.85 Crore,11716.0,Super Built up area 1579(146.69 sq.m.),3.0,2.0,2.0,7.0,East,New Property,,,,,0,0,0,0,0,0,13
flat,breez global heights4.2 ?,sohna road,40 Lac,6420.0,Super Built up area 623(57.88 sq.m.)Carpet area: 599 sq.ft. (55.65 sq.m.),2.0,2.0,1.0,4.0,North-East,New Property,,,,,0,0,0,0,0,0,49
house,independent,sector 105,1.3,11555.0,Plot area 1125(104.52 sq.m.),3 Bedrooms,3.0,1,2.0,North,Moderately Old,1125.0,,1125.0,,0,0,0,0,0,0,16
flat,experion the heartsong3.9 ?,sector 108,1.6 Crore,7988.0,Super Built up area 2003(186.08 sq.m.)Built Up area: 1500.29 sq.ft. (139.38 sq.m.)Carpet area: 1140.98 sq.ft. (106 sq.m.),3.0,4.0,,3.0,South,Relatively New,,,,,0,1,0,0,0,1,60
house,rwa sector 46,sector 46,3.5,21605.0,Plot area 180(150.5 sq.m.),4 Bedrooms,4.0,2,2.0,South-East,Relatively New,1620.0,,1620.0,,0,0,0,1,0,1,30
flat,tashee capital gateway,sector 111,96.07 Lac,6500.0,Super Built up area 1478(137.31 sq.m.),2.0,2.0,1.0,4.0,North,Undefined,,,,,1,0,0,0,0,0,53
flat,ansal plaza,sector 2,1 Crore,10000.0,Built Up area: 1000 (92.9 sq.m.),2.0,3.0,,1.0,,Undefined,,,,,0,0,0,0,0,0,0
flat,city shri ram apartments 1,sector 110,22 Lac,3666.0,Super Built up area 600(55.74 sq.m.),2.0,1.0,1.0,1.0,,Relatively New,,,,,0,0,0,0,0,0,0
flat,bestech park view grand spa4.3 ?,sector 81,4.5 Crore,10714.0,Super Built up area 4200(390.19 sq.m.),4.0,6.0,,17.0,,Relatively New,,,,,0,1,0,0,0,1,44
flat,zara aavaas,sector 104,20 Lac,6644.0,Carpet area: 301 (27.96 sq.m.),1.0,2.0,2.0,3.0,,New Property,,,,,0,0,0,0,0,0,0
flat,bptp terra3.8 ?,sector 37d,1.79 Crore,8983.0,Super Built up area 1998(185.62 sq.m.),4.0,3.0,3.0,15.0,South-West,Relatively New,,,,,0,0,0,0,1,1,37
flat,breez global heights 88a,sector 88a,50 Lac,8375.0,Carpet area: 597 (55.46 sq.m.),3.0,2.0,2.0,2.0,,Undefined,,,,,0,0,0,0,0,0,15
flat,m3m heights,sector 65,1.95 Crore,16000.0,Super Built up area 1261(117.15 sq.m.),2.0,2.0,3.0,16.0,,Under Construction,,,,,0,0,0,0,0,0,44
house,independent,sector 38,4.0,21786.0,Plot area 204(170.57 sq.m.),6 Bedrooms,6.0,3+,4.0,North-East,Old Property,1836.0,,1836.0,,1,1,0,1,1,1,137
flat,ansals highland park,dwarka expressway,1.2 Crore,6185.0,Built Up area: 1940 (180.23 sq.m.),3.0,3.0,,4.0,,Under Construction,,,,,0,1,0,0,0,0,0
flat,m3m one key resiments,sector 67,80 Lac,13115.0,Built Up area: 610 (56.67 sq.m.),1.0,1.0,,0.0,,Undefined,,,,,0,0,0,0,0,0,0
house,huda floor,sector 38,4.0,22222.0,Plot area 1800(167.23 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3800 sq.ft. (353.03 sq.m.),9 Bedrooms,9.0,3+,2.0,East,Relatively New,1800.0,,1800.0,,0,0,1,1,0,1,152
flat,ats triumph3.9 ?,sector 104,1.8 Crore,7860.0,Carpet area: 2290 (212.75 sq.m.),3.0,4.0,3.0,14.0,,New Property,,,,,0,0,0,0,0,0,60
flat,kendriya vihar4.1 ?,sector 56,47 Lac,7768.0,Carpet area: 605 (56.21 sq.m.),1.0,1.0,1.0,3.0,,Old Property,,,,,0,0,0,0,0,1,52
flat,experion windchants3.8 ?,sector 112,3.75 Crore,13383.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3.0,3.0,2.0,21.0,West,Relatively New,,,,,0,1,0,0,0,1,159
flat,experion the heartsong3.9 ?,sector 108,2.08 Crore,9904.0,Built Up area: 2631 (244.43 sq.m.)Carpet area: 2100 sq.ft. (195.1 sq.m.),4.0,4.0,,3.0,East,Relatively New,,,,,0,1,0,0,0,0,126
flat,ramsons kshitij3.7 ?,sector 95,24.5 Lac,53.0,Carpet area: 45966 (4270.38 sq.m.),2.0,2.0,1.0,10.0,North-West,Relatively New,,,,,0,0,0,0,1,0,33
flat,shree kirpalu gi sector 52,sector 52,1.45 Crore,7631.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3.0,3.0,,7.0,West,Relatively New,,,,,0,0,0,0,1,1,108
flat,corona optus3.9 ?,sector 37c,1.43 Crore,7185.0,Super Built up area 1990(184.88 sq.m.)Carpet area: 1680 sq.ft. (156.08 sq.m.),3.0,3.0,,2.0,North,Relatively New,,,,,0,1,0,0,1,0,49
house,independent,sector 11,,197080.0,nan,,,,,,Undefined,,,,,0,0,0,0,0,0,0
house,independent,sector 25,,,Plot area 502(419.74 sq.m.)Built Up area: 450 sq.yards (376.26 sq.m.)Carpet area: 400 sq.yards (334.45 sq.m.),5 Bedrooms,5.0,3+,2.0,West,Relatively New,,,502.0,,1,1,0,1,1,1,49
flat,tulip violet4.3 ?,sector 69,1.4 Crore,8920.0,Super Built up area 1568(145.67 sq.m.),3.0,3.0,1.0,12.0,East,Relatively New,,,,,0,0,0,1,0,0,86
flat,puri the aravallis,sector 61,3.87 Crore,17200.0,Super Built up area 2250(209.03 sq.m.)Carpet area: 1249.65 sq.ft. (116.1 sq.m.),3.0,4.0,,21.0,East,Undefined,,,,,0,1,0,0,0,0,58
flat,godrej nature plus serenity,sector 33,1.39 Crore,11583.0,Carpet area: 1200 (111.48 sq.m.),3.0,2.0,,23.0,East,Undefined,,,,,0,0,0,0,0,0,105
flat,godrej air,sector 85,1.75 Crore,9589.0,Built Up area: 1825 (169.55 sq.m.),3.0,3.0,2.0,27.0,,Undefined,,,,,0,0,0,0,0,0,0
house,independent,sector 46,6.81,36911.0,Plot area 205(171.41 sq.m.),12 Bedrooms,14.0,3+,,East,New Property,1845.0,,1845.0,,0,1,0,0,1,1,40
flat,orris aster court premier,sector 85,1.25 Crore,5896.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3.0,4.0,2.0,6.0,East,Relatively New,,,,,0,1,0,0,0,1,49
house,independent,sector 57,8.31,24171.0,Plot area 382(319.4 sq.m.),5 Bedrooms,6.0,3+,4.0,North-East,Old Property,3438.0,,3438.0,,1,1,1,1,0,0,34
flat,breez global heights4.2 ?,sohna road,40 Lac,6694.0,Super Built up area 950(88.26 sq.m.)Carpet area: 597.53 sq.ft. (55.51 sq.m.),2.0,2.0,2.0,7.0,,Relatively New,,,,,0,0,0,0,0,0,57
flat,sidhartha ncr one phase 14.2 ?,sector 95,55 Lac,4867.0,Carpet area: 1130 (104.98 sq.m.),2.0,2.0,2.0,14.0,,New Property,,,,,1,0,0,0,0,0,90
flat,tarc maceo3.8 ?,sector 91,1.8 Crore,7758.0,Carpet area: 2320 (215.54 sq.m.),4.0,3.0,,0.0,North,Relatively New,,,,,1,0,0,1,0,2,45
flat,ireo skyon4.0 ?,sector 60,2.65 Crore,13125.0,Super Built up area 2045(189.99 sq.m.)Built Up area: 2037 sq.ft. (189.24 sq.m.)Carpet area: 2019 sq.ft. (187.57 sq.m.),3.0,4.0,,7.0,North-East,Moderately Old,,,,,0,1,0,0,0,1,152
flat,antriksh heights3.7 ?,sector 84,85 Lac,5556.0,Super Built up area 1350(125.42 sq.m.),2.0,2.0,3.0,10.0,North-West,New Property,,,,,1,0,0,0,1,0,24
flat,ats triumph3.9 ?,sector 104,2.65 Crore,8412.0,Super Built up area 3150(292.64 sq.m.),4.0,4.0,,10.0,North-East,Relatively New,,,,,0,1,0,0,0,0,174
house,independent,sector 4,0.5,10482.0,Built Up area: 53 (44.31 sq.m.),5 Bedrooms,3.0,0,1.0,,Undefined,477.0,,,,0,0,0,0,0,0,0
house,emaar mgf marbella,sector 66,12.0,38095.0,Plot area 350(292.64 sq.m.),5 Bedrooms,6.0,3+,4.0,North-East,New Property,3150.0,,3150.0,,0,1,0,1,0,0,38
flat,green court3.7 ?,sector 90,45 Lac,7188.0,Carpet area: 626 (58.16 sq.m.),2.0,2.0,1.0,2.0,,New Property,,,,,0,0,0,0,0,1,42
flat,bptp terra3.8 ?,sector 37d,1.72 Crore,7850.0,Super Built up area 2191(203.55 sq.m.),3.0,3.0,,10.0,South-East,Relatively New,,,,,0,1,0,0,0,0,31
flat,signature global solera3.7 ?,sector 107,36 Lac,5980.0,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2.0,2.0,1.0,7.0,North-West,Relatively New,,,,,0,0,0,0,1,0,49
flat,godrej aria3.8 ?,sector 79,1 Crore,6653.0,Super Built up area 1503(139.63 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2.0,2.0,2.0,4.0,North-West,Relatively New,,,,,1,0,0,0,0,0,49
flat,rk tower,sector 2,95 Lac,9595.0,Carpet area: 990 (91.97 sq.m.),2.0,2.0,1.0,1.0,South-East,Relatively New,,,,,0,0,0,0,0,0,99
flat,supertech hues,sector 68,80 Lac,6779.0,Built Up area: 1180 (109.63 sq.m.),2.0,2.0,,14.0,,New Property,,,,,0,0,0,0,0,1,26
flat,smart world gems,sector 89,1.71 Crore,12000.0,Built Up area: 1423 (132.2 sq.m.),3.0,2.0,,3.0,,Undefined,,,,,0,0,0,0,0,0,0
house,independent,sector 2,6.0,20000.0,Built Up area: 333 (278.43 sq.m.),4 Bedrooms,4.0,1,2.0,,Relatively New,3000.0,,,,0,0,0,0,0,0,0
flat,rof ananda,sector 95,55 Lac,8527.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 645 sq.ft. (59.92 sq.m.),3.0,2.0,2.0,14.0,East,New Property,,,,,1,0,0,0,0,1,81
flat,emaar mgf the palm drive4.1 ?,sector 66,3 Crore,15384.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1720 sq.ft. (159.79 sq.m.)Carpet area: 1620 sq.ft. (150.5 sq.m.),3.0,3.0,2.0,12.0,East,Relatively New,,,,,0,1,0,0,0,0,96
flat,bptp pedestal,sector 70a,1.6 Crore,10158.0,Carpet area: 1575 (146.32 sq.m.),3.0,3.0,3.0,2.0,North-East,New Property,,,,,0,1,0,0,1,0,77
house,ninex city,sector 76,1.75,6250.0,Carpet area: 2800 (260.13 sq.m.),4 Bedrooms,4.0,0,14.0,,Undefined,2800.0,,,,0,0,0,0,0,0,0
flat,smart world gems,sector 89,1.13 Crore,8500.0,Carpet area: 1326 (123.19 sq.m.),3.0,3.0,2.0,4.0,,Undefined,,,,,1,0,0,0,0,0,115
flat,millenium bajrang society3.8 ?,sector 43,2.5 Crore,9433.0,Super Built up area 2650(246.19 sq.m.),4.0,4.0,,2.0,South,Relatively New,,,,,0,0,0,0,0,1,94
house,nul,sector 25,15.0,23437.0,Built Up area: 6400 (594.58 sq.m.),5 Bedrooms,5.0,3,2.0,West,Moderately Old,6400.0,,,,1,1,0,1,0,1,112
flat,vipul belmonte3.9 ?,sector 53,6 Crore,24489.0,Super Built up area 2450(227.61 sq.m.),3.0,4.0,,6.0,North-West,Moderately Old,,,,,0,1,0,0,1,1,26
flat,prime habitat,sector 99a,27 Lac,5432.0,Carpet area: 497 (46.17 sq.m.),2.0,2.0,1.0,4.0,North-East,New Property,,,,,0,0,0,0,0,0,7
flat,shree arihant apartment,sector 54,1.55 Crore,8611.0,Super Built up area 2000(185.81 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3.0,3.0,3.0,3.0,North-East,Moderately Old,,,,,0,1,0,0,0,1,109
flat,adani oyster greens,sector 102,1.9 Crore,10058.0,Carpet area: 1889 (175.49 sq.m.),3.0,3.0,,9.0,North-East,Relatively New,,,,,1,0,1,1,0,0,0
flat,trisara our homes 3,sohna road,35 Lac,5564.0,Carpet area: 629 (58.44 sq.m.),2.0,2.0,1.0,2.0,North,New Property,,,,,0,0,0,0,0,0,74
